,Unnamed: 0,Video ID,Video Title,Channel,Published Date,Views,Likes,Comments,Subscribers,Channel Views,Country,Region,CategoryID,CategoryName,Cluster,CategoryID_enc,VideoCluster,Channel_Cluster,Video_Cluster,Country_Cluster_x,Category_Cluster_x,Year,Month,Day,DayOfWeek,DayName,Views_per_Sub,Engagement,Like_per_Sub,Comment_per_Sub
0,0,26,4388,2187,0.9887541933276224,34727,686,16,4190000,1909505035,12,5,20,0,0,4,0,0,0,1,2,2025,10,20,0,0.1666666666666666,0.0082880648477172,0.0202142363510711,0.0001637231112832,3.818614840426052e-06
1,1,1447,2374,4507,0.8983408700781865,45151,1514,21,188000,135785655,22,11,22,1,0,8,0,0,0,1,2,2025,10,16,3,0.6666666666666666,0.2401636161509779,0.0339962792345854,0.0080531486534646,0.0001117015335024
2,2,3989,2973,4820,0.910706675746269,353713,6485,127,37300,54921887,72,35,25,2,0,7,1,0,0,1,2,2025,10,17,4,0.0,9.482668024985925,0.0186930684112022,0.1738559287954746,0.0034047344575212
3,3,7437,7301,3101,0.9447302933210722,2171652,78431,183,43800,88085601,85,43,24,3,0,2,2,0,0,1,1,2025,10,18,5,0.3333333333333333,49.57996392776421,0.0362000743212658,1.7906212186936372,0.0041779868039542
4,4,2123,7961,1298,0.892395680676259,246429,9321,949,2490000,501089468,85,43,28,4,0,9,1,0,0,1,0,2025,10,16,3,0.6666666666666666,0.0989674301335622,0.0416751207239378,0.0037433719906136,0.0003811243449299
5,5,7257,236,7009,0.8652248000225882,3877609,17845,207,55700,244812928,67,44,24,3,0,2,2,0,0,1,1,2025,10,15,2,1.0,69.61471068742033,0.0046554449777053,0.3203712680203228,0.0037162708030376
6,6,3181,6445,5164,0.976276042565587,40717,2050,50,116000,47253208,22,11,20,0,0,4,0,0,0,1,2,2025,10,19,6,0.5,0.3510055947793553,0.0515742423498207,0.017672261446022,0.0004310307669761
7,7,162,236,3213,0.8661298370368513,1085428,17014,52,33600,64228166,67,22,26,5,0,5,2,0,0,1,1,2025,10,15,2,1.0,32.3034433499003,0.015722815587201,0.5063539775601916,0.0015475729888991
8,8,743,1537,625,0.7651513677544699,248605,2186,1062,2500000,1582310372,30,14,25,2,0,7,0,0,0,2,2,2025,10,11,5,0.3333333333333333,0.0994419602232159,0.0130648496013772,0.0008743996502401,0.00042479983008
9,9,6123,7439,3682,0.9766601498143928,128332,2524,8,565000,554774488,67,26,28,4,0,9,1,0,0,1,0,2025,10,19,6,0.5,0.2271358811754315,0.0197299213764191,0.0044672487305332,1.4159266974748718e-05
10,10,5050,6586,6323,0.9921675385440948,37549,2647,62,588000,807753919,36,17,25,2,0,7,0,0,0,1,2,2025,10,20,0,0.1666666666666666,0.0638587349341242,0.0721438082556591,0.0045016930243315,0.0001054419975476
11,11,1603,7861,7235,0.9780462623289168,217241,9329,1442,1840000,456601688,57,26,26,5,0,5,2,0,0,1,1,2025,10,19,6,0.5,0.1180656967034257,0.0495806519917879,0.0050701059401598,0.0007836952262525
12,12,5042,7028,5389,0.983251480413287,28758,989,34,444000,137545244,31,2,22,1,0,8,0,0,0,1,2,2025,10,19,6,0.5,0.0647701243916117,0.0355714732779303,0.0022274724606476,7.657640410719796e-05
13,13,3860,2212,486,0.9863980844846764,61626,8714,222,1610000,334281336,12,5,20,0,0,4,0,0,0,1,2,2025,10,19,6,0.5,0.0382769948590094,0.1450013792655816,0.0054124189984975,0.0001378881131129
14,14,6363,5199,345,0.8712493841417199,144718,9072,216,1150000,157605654,77,38,2,6,0,0,2,0,0,2,0,2025,10,15,2,1.0,0.1258416297029307,0.0641795479515474,0.0078886887924445,0.0001878259236296
15,15,7399,4624,1026,0.9785088228555878,449689,6225,963,10300000,2844033943,91,2,20,0,0,4,2,0,0,1,2,2025,10,19,6,0.5,0.0436591219748425,0.0159843447708421,0.0006043688733622,9.349513655387023e-05
16,16,7495,5058,4843,0.6282654607874747,5278779,99107,4004,3110,72227973,67,29,10,7,0,6,1,0,0,1,0,2025,10,6,0,0.1666666666666666,1696.810993249759,0.0195331118175032,31.856959177113467,1.2870459659273543
17,17,1204,7813,7246,0.9581467452873084,227466,2217,10,192000,59826904,28,13,2,6,0,0,0,0,0,1,0,2025,10,18,5,0.3333333333333333,1.184712579621981,0.0097904311394619,0.0115468148603392,5.208306206738507e-05
18,18,8092,1901,3443,0.8666749304119321,433219,9043,421,141000,168287959,30,14,25,2,0,7,0,0,0,2,2,2025,10,15,2,1.0,3.0724533868554125,0.0218457134942985,0.06413429691988,0.0029857944269898
19,19,7022,321,1894,0.9748139872780256,2350472,42178,1368,2530000,3661591423,0,40,1,8,0,3,0,0,0,1,3,2025,10,19,6,0.5,0.9290399489960676,0.0185264838183633,0.016671139655676,0.0005407112487307
20,20,7443,2312,3621,0.3752065674807454,3317118,24551,370,201000,234727236,67,38,10,7,0,6,1,0,0,1,0,2025,9,27,5,0.3333333333333333,16.502992522425263,0.0075128447306231,0.1221436709270103,0.0018407868617569
21,21,5503,6073,6098,0.8432789076792915,6365420,28167,179,1600000,598377206,93,48,17,9,0,10,1,0,3,1,0,2025,10,14,1,0.8333333333333333,3.9783850135093664,0.0044531225821512,0.0176043639972725,0.0001118749300781
22,22,6598,7473,2258,0.965117475938314,287826,1755,11,85000,97143173,7,3,25,2,0,7,0,0,0,1,2,2025,10,19,6,0.5,3.386148398254138,0.0061356300833486,0.0206468159198127,0.0001294102422324
23,23,2229,7549,6884,0.1583077314136289,2567208,9302,231,34300,97875212,48,25,2,6,0,0,2,0,0,1,0,2025,9,19,4,0.0,74.84353225853474,0.0037133712136409,0.2711874289379318,0.0067344975365149
24,24,38,5822,1098,0.8895983505982485,1385251,55536,583,1700000,875020777,62,29,1,8,0,3,2,0,0,2,3,2025,10,16,3,0.6666666666666666,0.8148530500864412,0.0405117624807616,0.0326682160775199,0.0003429409747406
25,25,4854,3192,3979,0.8451730836217166,299377,1033,4,313000,220801724,91,27,10,7,0,6,1,0,0,1,0,2025,10,14,1,0.8333333333333333,0.9564729825144328,0.0034638483789724,0.0033003089446998,1.2779511886543494e-05
26,26,1045,4803,1169,0.9513686958867992,2314669,26278,13,99500,198954267,12,5,26,5,0,5,0,0,0,1,1,2025,10,18,5,0.3333333333333333,23.262771228429862,0.0113584225829167,0.2640978482628315,0.0001306519532467
27,27,1428,3637,2976,0.728609399957918,2429940,44121,783,44500,32201907,91,45,1,8,0,3,2,0,0,1,3,2025,10,10,4,0.0,54.6041661985124,0.0184794610239507,0.991460866047954,0.0175951102222421
28,28,7216,1113,1073,0.8926216261166928,90978,2265,161,883000,129830108,87,45,28,4,0,9,1,0,0,2,0,2025,10,16,3,0.6666666666666666,0.1030327258972526,0.0266654942349333,0.0025651160077961,0.00018233274934
29,29,2223,4527,1434,0.9685653405970244,113654,12339,643,10800,16171016,22,11,25,2,0,7,0,0,0,1,2,2025,10,19,6,0.5,10.522544208869547,0.1142228674497382,1.1423942227571522,0.0595315248588093
30,30,2124,5396,7059,0.9197438657381554,2467125,40803,494,1390000,3060601900,46,23,23,10,0,1,2,0,0,1,3,2025,10,17,4,0.0,1.7749087950296438,0.0167389099705487,0.0293546551405358,0.000355395427773
31,31,985,2434,2764,0.9406347183997924,24498,634,24,643000,351969625,64,30,20,0,0,4,2,0,0,2,2,2025,10,18,5,0.3333333333333333,0.0380994741843325,0.0268582391118004,0.0009860015769804,3.732498083206713e-05
32,32,1042,3902,5331,0.9269173196594238,46629445,140979,727,75400,123655838,67,24,24,3,2,2,3,0,4,1,1,2025,10,17,4,0.0,618.4194506704155,0.0030389809906812,1.869723213219984,0.0096417819392315
33,33,485,332,6849,0.9208654337995767,3351072,23269,674,602000,3865502110,48,25,23,10,0,1,2,0,0,1,3,2025,10,17,4,0.0,5.56655553728316,0.0071448756860862,0.0386527597130237,0.0011195994691038
34,34,6998,5400,3051,0.8195499292351087,9398640,204672,791,743000,1796103692,91,39,1,8,0,3,2,0,3,1,3,2025,10,13,0,0.1666666666666666,12.649565747556194,0.0218609264892658,0.2754666548228064,0.0010646015281271
35,35,6411,4705,4741,0.909014909260918,711034,3436,58,14100,2226869,42,21,10,7,0,6,0,0,0,0,0,2025,10,17,4,0.0,50.42436706616552,0.0049139634476502,0.2436706616552017,0.0041131834621658
36,36,5138,7771,3897,0.9586249964695526,18126,495,0,311000,63761388,41,20,20,0,0,4,0,0,0,2,2,2025,10,18,5,0.3333333333333333,0.0582827707949492,0.0273073316047884,0.001591634753586,0.0
37,37,7231,3029,6319,0.9747145085215152,277786,4594,599,782000,10733408,72,35,25,2,0,7,1,0,0,1,2,2025,10,19,6,0.5,0.3552246096871999,0.0186941793532454,0.005874672794536,0.0007659836752126
38,38,3754,7327,1905,0.9186100589654416,6064243,345442,27865,3800000,578917699,80,40,26,5,0,5,2,0,3,2,1,2025,10,17,4,0.0,1.5958530010913154,0.0615587037724735,0.0909057655511143,0.0073328928071334
39,39,7322,2704,3373,0.9753763403741686,109630,3056,365,2140000,960830563,44,22,20,0,0,4,0,0,0,2,2,2025,10,19,6,0.5,0.051228948023856,0.0312046775090987,0.0014280367158706,0.0001705606679623
40,40,2977,2240,3970,0.8106956922873678,723647,6692,146,12600,47561562,46,23,28,4,0,9,1,0,0,1,0,2025,10,13,0,0.1666666666666666,57.427743829854776,0.0094493455381622,0.5310689627807317,0.0115863820331719
41,41,2507,4030,4594,0.7875604482505878,4424642,90778,211,94300,106583948,28,2,2,6,0,0,2,0,0,1,0,2025,10,12,6,0.5,46.92041441766259,0.0205641449490953,0.9626409051865834,0.0022375160390663
42,42,1933,3065,5399,0.9472464468509544,172417,2553,500,355000,103612056,30,14,20,0,0,4,0,0,0,2,2,2025,10,18,5,0.3333333333333333,0.4856803220272619,0.017706967949982,0.0071915290379463,0.0014084467367697
43,43,62,4729,2108,0.9335296757368496,698474,15360,96,2550000,973610115,12,37,17,9,0,10,0,0,0,1,0,2025,10,17,4,0.0,0.2739112651328372,0.022128207881456,0.0060235270495972,3.764704405998272e-05
44,44,2934,588,5256,0.8702888022066873,3456875,25583,117,91700,473655341,50,39,26,5,0,5,0,0,0,1,1,2025,10,15,2,1.0,37.69724430486036,0.0074344581639607,0.2789827809947547,0.001275885759152
45,45,5632,6477,2807,0.8986559384424027,9897814,172663,435,15600,17115722,91,2,1,8,0,3,2,0,3,1,3,2025,10,16,3,0.6666666666666666,634.4345875264406,0.0174885063016433,11.067431574899045,0.0278828280238446
46,46,325,5517,903,0.9468482180121782,2547687,0,79,164000,265906782,39,28,2,6,0,0,2,0,0,1,0,2025,10,18,5,0.3333333333333333,15.534582106206669,3.100850653612216e-05,0.0,0.0004817043798513
47,47,5792,8037,5687,0.9048195417700526,1041318,14890,777,120000,59933099,67,26,24,3,0,2,2,0,0,1,1,2025,10,16,3,0.6666666666666666,8.67757768685261,0.0150453415331901,0.1240822993141723,0.0064749460421163
48,48,2667,5570,1795,0.814754237261468,39233608,0,74,8000000,9589035471,42,35,24,3,0,2,3,2,1,0,1,2025,10,13,0,0.1666666666666666,4.904200386974952,1.8861379793023885e-06,0.0,9.249998843750145e-06
49,49,252,559,2784,0.70286323083144,1305259,22988,223,916000,262732638,87,17,24,3,0,2,2,0,0,2,1,2025,10,9,3,0.6666666666666666,1.4249536845483792,0.0177826639903161,0.0250960424715693,0.0002434495158848
50,50,2329,3527,2540,0.8711655960408962,628916,9935,884,1280000,19966099,62,29,1,8,0,3,2,0,0,2,3,2025,10,15,2,1.0,0.4913402411404366,0.017202587940857,0.0077617126861619,0.0006906244604496
51,51,1576,8210,7358,0.9626700474799464,119282,1989,168,67300,23549879,48,25,20,0,0,4,0,0,0,1,2,2025,10,19,6,0.5,1.7723659380989882,0.0180830462010512,0.0295537956345373,0.0024962481983922
52,52,2629,1638,5074,0.8375471111933166,63779457,959734,12588,202000,382000734,31,36,24,3,2,2,3,0,4,1,1,2025,10,14,1,0.8333333333333333,315.7383230776085,0.0152450652685069,4.751134895371805,0.0623165231855287
53,53,6703,8218,6888,0.7278160804114577,4931187,33371,119,28700,210266421,48,25,17,9,0,10,1,0,0,1,0,2025,10,10,4,0.0,171.81237587540502,0.0067914668838421,1.1627121006236716,0.0041461969966203
54,54,2655,8135,7115,0.8212919058183843,617954,8178,127,50900,45282083,67,26,1,8,0,3,2,0,0,1,3,2025,10,13,0,0.1666666666666666,12.140311585234082,0.0134394899304965,0.1606648199445983,0.0024950393901887
55,55,3429,574,3408,0.3548874823087544,332340,7233,420,323000,156130924,0,4,22,1,0,8,0,0,0,1,2,2025,9,26,4,0.0,1.0289132231788756,0.0230275530253564,0.0223931195259457,0.0013003055718093
56,56,7427,5456,4671,0.8984243443659352,36952,988,88,12400,10607881,16,8,25,2,0,7,0,0,0,2,2,2025,10,16,3,0.6666666666666666,2.979759696798645,0.0291180688983303,0.0796709942746552,0.0070962019192
57,57,6697,4820,3658,0.8292188250209165,5176282,58881,202,372000,230425186,67,3,2,6,0,0,2,0,0,1,0,2025,10,14,1,0.8333333333333333,13.914699154034532,0.0114141749977734,0.1582818325757188,0.0005430092929857
58,58,7632,5917,4672,0.9665343421378338,9354832,255752,813,59100,155086716,67,42,24,3,0,2,2,0,3,1,1,2025,10,19,6,0.5,158.28551124346458,0.0274259305323782,4.327371787279403,0.0137561124177255
59,59,1046,6819,5241,0.910133339191134,600891,4883,869,30400,43019049,46,23,25,2,0,7,0,0,0,1,2,2025,10,17,4,0.0,19.76550113483109,0.0095724356456734,0.1606197164566955,0.0285845860333541
60,60,4754,4774,1459,0.6260405258252604,16852102,301448,10414,76600,61607565,40,39,17,9,0,10,3,0,3,0,0,2025,10,6,0,0.1666666666666666,219.99845955013643,0.018505820905557,3.9353011057296894,0.1359512277907599
61,61,4846,994,6936,0.935562870887793,2106286,11473,47,21100,93663266,91,44,23,10,0,1,2,0,0,1,3,2025,10,18,5,0.3333333333333333,99.81925027249892,0.0054693401231646,0.5437183071892328,0.0022273825885029
62,62,4691,2092,288,0.9394827104665636,823857,13619,1657,949000,960548493,87,45,17,9,0,10,1,0,0,2,0,2025,10,18,5,0.3333333333333333,0.8681308028126419,0.0185420303013383,0.0143508805575547,0.0017460466321953
63,63,3206,6128,3602,0.9748638835627615,26819,3439,322,92600,4327054,27,12,20,0,0,4,0,0,0,1,2,2025,10,19,6,0.5,0.2896189026036436,0.1402311707680835,0.037137827885228,0.0034772842625889
64,64,5654,3323,1569,0.979631332356348,38792,2970,79,93000,21636727,21,10,17,9,0,10,0,0,0,2,0,2025,10,19,6,0.5,0.4171137944753282,0.0785966540355218,0.0319351404823604,0.0008494532316856
