Unnamed: 0.1,Unnamed: 0,Video ID,Video Title,Channel,Published Date,Views,Likes,Comments,Subscribers,Channel Views,Country,Region,CategoryID,Cluster,CategoryID_enc,VideoCluster,Channel_Cluster,Video_Cluster,Country_Cluster_x,Category_Cluster_x,Year,Month,Day,DayOfWeek,DayName,Views_per_Sub,Engagement,Like_per_Sub,Comment_per_Sub,CategoryName
0,0,26,4388,2187,0.9887541933276224,34727,686,16,4190000,1909505035,12,5,20,0,4,0,0,0,1,2,2025,10,20,0,0.1666666666666666,0.0082880648477172,0.0202142363510711,0.0001637231112832,3.818614840426052e-06,0
1,1,1447,2374,4507,0.8983408700781865,45151,1514,21,188000,135785655,22,11,22,0,8,0,0,0,1,2,2025,10,16,3,0.6666666666666666,0.2401636161509779,0.0339962792345854,0.0080531486534646,0.0001117015335024,1
2,2,3989,2973,4820,0.910706675746269,353713,6485,127,37300,54921887,72,35,25,0,7,1,0,0,1,2,2025,10,17,4,0.0,9.482668024985925,0.0186930684112022,0.1738559287954746,0.0034047344575212,2
3,3,7437,7301,3101,0.9447302933210722,2171652,78431,183,43800,88085601,85,43,24,0,2,2,0,0,1,1,2025,10,18,5,0.3333333333333333,49.57996392776421,0.0362000743212658,1.7906212186936372,0.0041779868039542,3
4,4,2123,7961,1298,0.892395680676259,246429,9321,949,2490000,501089468,85,43,28,0,9,1,0,0,1,0,2025,10,16,3,0.6666666666666666,0.0989674301335622,0.0416751207239378,0.0037433719906136,0.0003811243449299,4
5,5,7257,236,7009,0.8652248000225882,3877609,17845,207,55700,244812928,67,44,24,0,2,2,0,0,1,1,2025,10,15,2,1.0,69.61471068742033,0.0046554449777053,0.3203712680203228,0.0037162708030376,3
6,6,3181,6445,5164,0.976276042565587,40717,2050,50,116000,47253208,22,11,20,0,4,0,0,0,1,2,2025,10,19,6,0.5,0.3510055947793553,0.0515742423498207,0.017672261446022,0.0004310307669761,0
7,7,162,236,3213,0.8661298370368513,1085428,17014,52,33600,64228166,67,22,26,0,5,2,0,0,1,1,2025,10,15,2,1.0,32.3034433499003,0.015722815587201,0.5063539775601916,0.0015475729888991,5
8,8,743,1537,625,0.7651513677544699,248605,2186,1062,2500000,1582310372,30,14,25,0,7,0,0,0,2,2,2025,10,11,5,0.3333333333333333,0.0994419602232159,0.0130648496013772,0.0008743996502401,0.00042479983008,2
9,9,6123,7439,3682,0.9766601498143928,128332,2524,8,565000,554774488,67,26,28,0,9,1,0,0,1,0,2025,10,19,6,0.5,0.2271358811754315,0.0197299213764191,0.0044672487305332,1.4159266974748718e-05,4
10,10,5050,6586,6323,0.9921675385440948,37549,2647,62,588000,807753919,36,17,25,0,7,0,0,0,1,2,2025,10,20,0,0.1666666666666666,0.0638587349341242,0.0721438082556591,0.0045016930243315,0.0001054419975476,2
11,11,1603,7861,7235,0.9780462623289168,217241,9329,1442,1840000,456601688,57,26,26,0,5,2,0,0,1,1,2025,10,19,6,0.5,0.1180656967034257,0.0495806519917879,0.0050701059401598,0.0007836952262525,5
12,12,5042,7028,5389,0.983251480413287,28758,989,34,444000,137545244,31,2,22,0,8,0,0,0,1,2,2025,10,19,6,0.5,0.0647701243916117,0.0355714732779303,0.0022274724606476,7.657640410719796e-05,1
13,13,3860,2212,486,0.9863980844846764,61626,8714,222,1610000,334281336,12,5,20,0,4,0,0,0,1,2,2025,10,19,6,0.5,0.0382769948590094,0.1450013792655816,0.0054124189984975,0.0001378881131129,0
14,14,6363,5199,345,0.8712493841417199,144718,9072,216,1150000,157605654,77,38,2,0,0,2,0,0,2,0,2025,10,15,2,1.0,0.1258416297029307,0.0641795479515474,0.0078886887924445,0.0001878259236296,6
15,15,7399,4624,1026,0.9785088228555878,449689,6225,963,10300000,2844033943,91,2,20,0,4,2,0,0,1,2,2025,10,19,6,0.5,0.0436591219748425,0.0159843447708421,0.0006043688733622,9.349513655387023e-05,0
16,16,7495,5058,4843,0.6282654607874747,5278779,99107,4004,3110,72227973,67,29,10,0,6,1,0,0,1,0,2025,10,6,0,0.1666666666666666,1696.810993249759,0.0195331118175032,31.856959177113467,1.2870459659273543,7
17,17,1204,7813,7246,0.9581467452873084,227466,2217,10,192000,59826904,28,13,2,0,0,0,0,0,1,0,2025,10,18,5,0.3333333333333333,1.184712579621981,0.0097904311394619,0.0115468148603392,5.208306206738507e-05,6
